============================================================================================================================================================================================================================
FOCUSED DEFENSE GENE EXTRACTION - CATEGORIES YOU REQUESTED
============================================================================================================================================================================================================================

HYPOTHETICAL PROTEINS: 212
DUF-DOMAIN PROTEINS: 59
GENERIC METHYLTRANSFERASES: 17
GENERIC NUCLEASES/ENDONUCLEASES: 36
HELIX-TURN-HELIX PROTEINS (non-transcriptional): 0
CLUSTERED DEFENSE ISLANDS: 110 genes

============================================================================================================================================================================================================================


SECTION 1: HYPOTHETICAL PROTEINS
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LOCUS_TAG          | PGAP_PRODUCT_NAME                                       | LENGTH  | CONTIG:COORD             | HYPOTHESIS                          | CONF  | SCORE
ACWYRP_RS02360     | DUF3168 domain-containing protein                       | 8465-8860       | 396aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02365     | HK97-gp10 family putative phage morphogenesis protein   | 8857-9216       | 360aa   | Phage/integrase/mobile elements     | H    
ACWYRP_RS02370     | hypothetical protein                                    | 9209-9520       | 312aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02375     | phage head-tail connector protein                       | 9529-9867       | 339aa   | Phage/integrase/mobile elements     | H    
ACWYRP_RS02385     | DUF4355 domain-containing protein                       | 10778-11371     | 594aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02395     | phage portal protein                                    | 12459-13967     | 1509aa  | Phage/integrase/mobile elements     | H    
ACWYRP_RS02400     | PBSX family phage terminase large subunit               | 13978-15270     | 1293aa  | Phage/integrase/mobile elements     | H    
ACWYRP_RS02410     | hypothetical protein                                    | 16029-16658     | 630aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02415     | hypothetical protein                                    | 16763-17272     | 510aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02425     | hypothetical protein                                    | 18590-18760     | 171aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02430     | DUF4145 domain-containing protein                       | 18860-19462     | 603aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02435     | DUF722 domain-containing protein                        | 20255-20671     | 417aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02440     | hypothetical protein                                    | 20685-20879     | 195aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02445     | hypothetical protein                                    | 20879-21436     | 558aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02450     | hypothetical protein                                    | 21436-21738     | 303aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02455     | DUF4145 domain-containing protein                       | 21818-22531     | 714aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02460     | hypothetical protein                                    | 22649-22930     | 282aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02465     | hypothetical protein                                    | 22936-23094     | 159aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02470     | RusA family crossover junction endodeoxyribonuclease    | 23099-23524     | 426aa   | Sugar-specific metabolism           | M    
ACWYRP_RS02475     | putative HNHc nuclease                                  | 23631-24332     | 702aa   | Uncategorized                       | M    
ACWYRP_RS02480     | replicative DNA helicase                                | 24333-25652     | 1320aa  | DNA replication/chromosome mainte   | H    
ACWYRP_RS02485     | phage replisome organizer N-terminal domain-containin   | 25645-26649     | 1005aa  | Phage/integrase/mobile elements     | H    
ACWYRP_RS02500     | hypothetical protein                                    | 27655-28056     | 402aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02505     | hypothetical protein                                    | 28059-28346     | 288aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02515     | hypothetical protein                                    | 28637-28801     | 165aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02520     | phage antirepressor KilAC domain-containing protein     | 28815-29540     | 726aa   | Phage/integrase/mobile elements     | H    
ACWYRP_RS02525     | hypothetical protein                                    | 29554-29817     | 264aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02530     | DUF2188 domain-containing protein                       | 29959-30183     | 225aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02535     | hypothetical protein                                    | 30180-30371     | 192aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02560     | tyrosine-type recombinase/integrase                     | 32697-33773     | 1077aa  | Phage/integrase/mobile elements     | M    
ACWYRP_RS02585     | hypothetical protein                                    | 37645-38202     | 558aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02610     | hypothetical protein                                    | 41207-41581     | 375aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02725     | hypothetical protein                                    | 68310-68756     | 447aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02755     | hypothetical protein                                    | 72279-72536     | 258aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02760     | hypothetical protein                                    | 72748-72870     | 123aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02765     | hypothetical protein                                    | 72813-72947     | 135aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02770     | hypothetical protein                                    | 73165-73473     | 309aa   | Hypothetical/uncharacterized prot   | L    
ACWYRP_RS02775     | hypothetical protein                                    | 73488-73802     | 315aa   | Hypothetical/uncharacterized prot   | L    
